337507,94,"Jan 12, 2022",United States,Seattle,17.105677,2.209483,6.618268,1
337505,94,"Jan 12, 2022",United States,Seattle,9.774672,1.435655,6.618268,1
337504,94,"Jan 12, 2022",United States,Seattle,17.105677,1.965116,6.618268,1
337503,94,"Jan 12, 2022",United States,Seattle,17.105677,1.975298,6.618268,1
337501,92,"Jan 12, 2022",United States,Austin,9.774672,1.374563,6.618268,1
337493,79,"Jan 12, 2022",United States,New York,136.845414,10.039403,6.618268,6
337492,45,"Jan 12, 2022",United States,Santa Clara,61.091703,6.190626,6.618268,3
337482,50,"Jan 12, 2022",United States,Duluth,45.615138,3.125859,6.618268,2
337478,100,"Jan 12, 2022",United States,Roseville,102.837699,5.79353,6.618268,8
337469,1,"Jan 12, 2022",United States,Atlanta,44.800582,3.991325,6.618268,1
337460,74,"Jan 12, 2022",United States,San Francisco,195.900726,16.199483,6.618268,7
337455,94,"Jan 12, 2022",United States,Tucson,91.230276,10.039403,6.618268,2
337452,100,"Jan 12, 2022",United States,Troy,96.117612,6.964454,13.226354,4
337447,25,"Jan 12, 2022",United States,Dallas,82.677437,7.381914,6.618268,2
337443,25,"Jan 12, 2022",United States,Dallas,47.24425,4.449512,6.618268,2
337436,87,"Jan 12, 2022",United States,San Francisco,86.546579,8.359381,6.618268,7
337433,72,"Jan 12, 2022",United States,Oakland,31.767685,3.675684,6.618268,2
337432,53,"Jan 12, 2022",United States,Fremont,16.291121,2.189119,6.618268,1
337428,53,"Jan 12, 2022",United States,Fremont,16.291121,2.189119,6.618268,1
337424,3,"Jan 12, 2022",United States,Austin,21.993013,3.207314,13.05326,1
337422,6,"Jan 12, 2022",United States,Los Angeles,6.516448,1.25238,6.618268,1
337418,26,"Jan 12, 2022",United States,San Jose,26.065793,3.074949,6.618268,1
337417,3,"Jan 12, 2022",United States,Arlington,22.400291,1.547656,6.618268,1
337416,26,"Jan 12, 2022",United States,San Jose,82.270159,6.903362,6.618268,2
337415,22,"Jan 12, 2022",United States,Chicago,90.822998,9.998675,6.618268,3
337406,59,"Jan 12, 2022",United States,La Pine,8.14556,0.0,6.618268,2
337401,85,"Jan 12, 2022",United States,Pittsburgh,93.673944,7.025546,6.618268,1
337400,13,"Jan 12, 2022",United States,Leander,325.822413,27.430174,6.618268,10
337395,51,"Jan 12, 2022",United States,Irvine,24.436681,2.565852,6.618268,2
337388,37,"Jan 12, 2022",United States,Woodstock,96.117612,6.170262,6.618268,5
337384,19,"Jan 12, 2022",United States,Dallas,25.454876,2.413122,6.618268,1
337377,76,"Jan 12, 2022",United States,Franklin Township,44.800582,3.410953,6.618268,1
337372,36,"Jan 12, 2022",United States,Pleasanton,56.204366,6.455357,6.618268,1
